emp_no,first_name,last_name,birth_date,from_date,to_date,title
10002,Bezalel,Simmel,1964-06-02,1996-08-03,9999-01-01,Staff
10077,Mona,Azuma,1964-04-18,1994-12-23,9999-01-01,Staff
10092,Valdiodio,Niizuma,1964-10-18,1996-04-22,9999-01-01,Engineer
10093,Sailaja,Desikan,1964-06-11,1997-06-08,9999-01-01,Staff
10115,Chikara,Rissland,1964-12-25,1988-03-03,1992-05-24,Staff
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Senior Staff
10156,Sumali,Fargier,1964-09-19,1993-05-14,9999-01-01,Engineer
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Senior Staff
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Engineer
10211,Vishu,Strehl,1964-08-05,1991-11-22,9999-01-01,Engineer
10213,Jackson,Kakkad,1964-05-24,1994-10-06,9999-01-01,Staff
10226,Xinglin,Plessier,1964-12-28,1996-01-29,9999-01-01,Staff
10238,Mototsugu,Gire,1964-11-02,1996-05-25,9999-01-01,Engineer
10242,Lunjin,Ozeri,1964-02-22,1988-01-18,9999-01-01,Engineer
10247,Heon,Riefers,1964-06-30,1992-08-14,9999-01-01,Engineer
10253,Zsolt,Salinas,1964-11-12,1985-02-21,1994-03-20,Senior Staff
10255,Roddy,Garnick,1964-02-08,1993-05-12,1999-11-14,Engineer
10259,Susanna,Vesel,1964-11-24,1994-08-15,1999-01-06,Senior Staff
10276,Xuejun,Hempstead,1964-07-27,1986-10-19,2000-02-04,Engineer
10277,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,Senior Staff
10279,Barton,Jumpertz,1964-08-20,1999-07-11,9999-01-01,Engineer
10280,Stabislas,Delgrange,1964-10-29,1995-01-27,9999-01-01,Staff
10296,Petter,Lorho,1964-05-13,1989-09-16,9999-01-01,Senior Staff
10309,Prodip,Schusler,1964-11-06,1997-05-02,9999-01-01,Assistant Engineer
10310,Aksel,Alencar,1964-08-29,1990-10-24,2001-07-26,Senior Engineer
10357,Hausi,Sidhu,1964-01-10,1994-04-04,9999-01-01,Engineer
10378,Takahira,Lichtner,1964-09-05,1992-08-31,9999-01-01,Senior Staff
10408,Martijn,Kaiser,1964-03-17,1998-10-07,9999-01-01,Staff
10417,Bingning,Bakhtari,1964-02-02,1999-06-27,9999-01-01,Staff
10419,Maria,Bauknecht,1964-06-22,1992-04-25,2002-07-06,Senior Staff
10469,Munehiko,Ananiadou,1964-12-22,1992-12-26,9999-01-01,Senior Engineer
10491,Garnik,Narahari,1964-09-09,1990-01-17,9999-01-01,Senior Staff
10498,Valter,Cappelletti,1964-09-15,1994-03-09,9999-01-01,Engineer
10505,Isamu,Auria,1964-02-04,1985-07-23,1998-03-26,Senior Staff
10507,Kasidit,Belinskaya,1964-02-18,1990-09-30,9999-01-01,Senior Staff
10520,Jenwei,Ecklund,1964-03-06,1996-09-05,9999-01-01,Senior Engineer
10527,Tetsushi,Barvinok,1964-09-15,1996-01-25,9999-01-01,Technique Leader
10534,Dinah,Bahl,1964-10-23,1998-01-26,2001-03-03,Staff
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Senior Staff
10553,Rajmohan,Wallrath,1964-02-08,1990-07-22,9999-01-01,Engineer
10558,Hisao,Famili,1964-10-08,1992-04-22,9999-01-01,Senior Engineer
10573,Tetsushi,Speel,1964-02-23,1999-08-20,9999-01-01,Staff
10583,Prasadram,Stille,1964-03-03,1985-02-14,1998-05-29,Engineer
10592,Almudena,Alvarado,1964-08-01,1993-09-27,9999-01-01,Staff
10595,Giri,Undy,1964-12-10,1989-11-24,9999-01-01,Senior Engineer
10606,Toshiki,Marakhovsky,1964-03-04,1987-05-02,9999-01-01,Engineer
10607,Rosalyn,Hambrick,1964-11-30,1996-01-13,9999-01-01,Engineer
10611,Karsten,Blokdijk,1964-05-11,1989-09-16,9999-01-01,Senior Engineer
10660,Jouko,Kolinko,1964-01-03,1988-08-12,1991-07-12,Senior Engineer
10665,Qingxiang,Snyers,1964-07-28,1988-01-23,2000-07-13,Engineer
10666,Zhonghua,Reeker,1964-10-03,1989-05-20,9999-01-01,Senior Staff
10681,Florina,Garnier,1964-12-25,1995-10-02,2002-01-08,Staff
10688,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,Senior Staff
10699,Hatim,Deverell,1964-02-02,1985-11-17,9999-01-01,Engineer
10721,Bernd,Redmiles,1964-07-12,1999-07-15,9999-01-01,Staff
10723,Eckart,Harnett,1964-01-14,1997-07-14,9999-01-01,Technique Leader
10735,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,Senior Staff
10748,Yuchang,Francisci,1964-04-12,1992-04-04,9999-01-01,Senior Staff
10752,Byong,Conde,1964-07-18,1993-05-28,9999-01-01,Senior Engineer
10766,Nathalie,Standera,1964-06-10,1999-09-18,9999-01-01,Staff
10786,Patricia,dAstous,1964-05-19,2001-12-10,9999-01-01,Senior Engineer
10789,Aruna,Journel,1964-05-19,1998-01-26,9999-01-01,Staff
10804,Terresa,Benantar,1964-02-20,1997-06-09,9999-01-01,Staff
10807,Munehiro,Zallocco,1964-06-23,1999-10-19,9999-01-01,Senior Staff
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Senior Staff
10839,Gurbir,Katiyar,1964-04-02,1996-12-30,9999-01-01,Assistant Engineer
10853,Yoshinari,Kalloufi,1964-03-22,1993-05-03,9999-01-01,Technique Leader
10856,Sreenivas,Peck,1964-03-13,1986-12-31,1990-06-18,Staff
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
